JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,10242,18467,"0","1","1",
1,18467,21097,"1","0","1",
2,21114,27268,"0","1","0",
3,27268,29988,"1","0","1",
4,31737,32615,"0","1","0",
5,35199,45526,"0","1","0",
6,45526,47933,"1","0","1",
7,50303,52470,"0","1","1",
8,55876,58178,"1","0","1",
9,61121,71706,"0","1","0",
10,75730,78744,"0","0","1",
11,84147,90755,"0","1","1",
12,92844,95880,"0","0","1",
13,98546,99481,"0","0","1",
14,99481,102143,"0","1","0",
15,102143,103210,"0","1","1",
16,103210,105332,"0","1","1",
17,105332,109106,"0","1","0",
18,109106,116611,"0","1","1",
19,119554,130832,"0","1","1",
20,130832,137616,"1","0","1",
21,137616,140848,"0","1","0",
22,142743,148138,"0","1","1",
23,148138,0,"0","1","0",
24,150683,176626,"0","1","0",
25,184480,187510,"0","0","1",
26,189360,193020,"1","0","1",
27,195644,199177,"1","0","1",
28,199177,213504,"0","1","0",
