JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,10380,15431,"0","1","1",
1,15947,30975,"0","1","1",
2,32189,46390,"0","1","0",
3,50847,53903,"0","1","1",
4,56324,64659,"0","1","1",
5,65525,75608,"0","1","0",
6,75608,81294,"1","0","1",
7,84324,83049,"0","1","1",
8,87981,98745,"0","1","1",
9,98745,103020,"0","1","1",
10,103020,106046,"0","0","1",
11,107901,120496,"0","1","1",
12,120496,122324,"0","1","1",
13,128591,131702,"0","1","1",
14,134917,153766,"0","1","1",
15,153766,196380,"0","1","1",
16,201530,209689,"0","1","1",
