JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,49086,59294,"1","0","1",
1,61610,64950,"1","0","1",
2,65783,67900,"1","0","1",
3,68719,80731,"0","1","1",
4,82855,92572,"0","1","1",
5,98784,125778,"0","1","1",
6,125778,145386,"0","1","1",
7,148621,156585,"0","1","1",
8,160587,168636,"0","1","0",
9,168978,180390,"0","1","1",
10,183121,191795,"0","1","1",
11,194026,201540,"0","1","1",
12,201540,208148,"0","1","1",
13,212351,215513,"0","0","1",
14,215513,215861,"0","1","0",
