JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,20139,25103,"1","0","1",
1,26360,36693,"0","1","1",
2,36693,48960,"0","1","1",
3,48960,51986,"0","0","1",
4,53924,61132,"0","1","1",
5,61132,63104,"0","1","1",
6,64668,70278,"0","1","1",
7,75276,78302,"0","0","1",
8,89828,92242,"1","0","1",
9,95880,98872,"0","0","1",
10,100572,124267,"0","1","1",
11,124267,126861,"1","0","1",
12,128442,143838,"0","1","1",
13,146508,162723,"0","1","1",
14,163827,172252,"0","1","1",
15,173490,182029,"0","1","1",
16,182029,209910,"0","1","1",
17,211399,227020,"0","1","1",
