JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,4189,12425,"0","1","1",
1,14470,20973,"1","0","1",
2,26126,31693,"1","0","1",
3,33539,47425,"0","1","1",
4,48640,55068,"0","1","1",
5,55068,56744,"0","0","1",
6,56744,67585,"1","0","1",
7,67585,70069,"0","0","1",
8,72835,76055,"1","0","1",
9,84054,87430,"1","0","1",
10,91922,94904,"0","1","1",
11,95515,98557,"0","0","1",
12,102250,106575,"1","0","1",
13,118545,129954,"0","1","1",
14,129954,135910,"0","1","1",
15,140226,148349,"0","1","1",
16,155966,161674,"0","1","1",
17,166701,169715,"0","0","1",
18,175063,184479,"0","1","1",
19,185038,189200,"1","0","1",
