JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,12156,17796,"1","0","1",
1,18506,21522,"0","0","1",
2,21731,29600,"0","1","1",
3,30649,43498,"0","1","1",
4,45434,46542,"1","0","1",
5,51488,53531,"1","0","1",
6,56414,59560,"0","1","1",
7,59874,62900,"0","0","1",
8,62900,65300,"0","0","0",
9,67588,69294,"1","0","1",
10,72129,89153,"0","1","1",
11,89153,93424,"0","1","1",
12,95051,98282,"0","1","1",
13,100017,113507,"0","1","1",
14,115347,120587,"0","1","0",
15,123039,124327,"0","1","1",
16,125589,128622,"0","0","1",
17,129146,132158,"0","0","1",
18,133443,151720,"0","1","0",
19,151720,161931,"0","1","0",
20,161931,245516,"0","1","1",
