JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,36816,40986,"1","0","1",
1,45033,48372,"0","0","1",
2,50519,63818,"0","1","1",
3,63915,71292,"0","1","1",
4,72213,77530,"1","0","1",
5,80136,86258,"1","0","1",
6,93320,96322,"0","0","1",
7,100843,103870,"0","0","1",
8,104884,114847,"0","1","1",
9,114847,117878,"0","0","1",
10,127130,132784,"0","1","1",
11,132784,146555,"0","1","1",
12,147393,154598,"1","0","1",
13,154598,162492,"0","1","0",
14,162492,165790,"0","1","0",
15,167525,196310,"0","1","0",
16,196310,211498,"0","1","1",
