JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,25820,31160,"0","1","0",
1,31335,35595,"1","0","1",
2,37164,40188,"0","0","1",
3,50840,69511,"0","1","0",
4,78746,81159,"1","0","1",
5,96653,109532,"0","1","1",
6,117313,122814,"1","0","1",
7,158900,162496,"1","0","1",
8,164771,167790,"0","0","1",
9,168407,198985,"0","1","1",
10,198985,209031,"0","1","1",
