JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,6936,19685,"0","1","1",
1,23272,26316,"0","1","1",
2,26316,43010,"0","1","1",
3,43010,58684,"0","1","1",
4,58684,70210,"0","1","1",
5,70210,73304,"0","0","1",
6,73304,101524,"0","1","1",
7,113152,121584,"0","1","1",
8,121584,124610,"0","0","1",
9,127676,158406,"0","1","1",
10,158542,165311,"0","1","1",
11,167722,179199,"0","1","1",
12,179199,188705,"0","1","1",
13,188705,191848,"1","0","1",
