JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,49933,64143,"0","1","1",
1,64862,73440,"0","1","1",
2,77677,88094,"0","1","1",
3,88686,106059,"0","1","1",
4,106059,116348,"0","1","1",
5,119861,123857,"1","0","1",
6,132992,146016,"1","0","1",
7,166450,169456,"0","0","1",
8,170722,171802,"0","0","1",
9,172286,174454,"0","0","1",
10,180179,182589,"0","0","1",
11,196295,201467,"1","0","1",
12,201467,211400,"1","0","1",
