JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,1269,6620,"0","1","1",
1,6620,14107,"0","1","1",
2,14107,42177,"0","1","1",
3,42234,48843,"0","1","1",
4,48843,58968,"0","1","1",
5,60051,69519,"0","1","1",
6,74720,118975,"0","1","1",
7,121718,124908,"1","0","1",
8,128393,131410,"0","0","1",
9,132247,135252,"0","0","1",
10,137025,140046,"0","0","1",
11,143558,146574,"0","0","1",
12,149940,161359,"1","0","1",
13,166303,169981,"1","0","1",
14,169981,185180,"0","1","1",
15,186126,189142,"0","0","1",
