JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,17581,37491,"0","1","1",
1,37491,44321,"0","1","1",
2,44321,48790,"0","1","1",
3,53982,59084,"0","1","1",
4,59084,68612,"0","1","1",
5,72420,83130,"0","1","1",
6,83130,88411,"0","1","1",
7,91358,99790,"0","1","1",
8,100833,127687,"0","1","1",
9,131535,160412,"0","1","1",
10,160412,181460,"0","1","1",
11,192334,199641,"0","1","1",
