JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,6645,9520,"0","1","1",
1,10268,15538,"0","1","1",
2,16886,23698,"0","1","1",
3,24875,30974,"0","1","1",
4,36323,43757,"0","1","1",
5,43757,48892,"1","0","1",
6,48892,51884,"0","0","1",
7,53176,66912,"0","1","1",
8,68427,73780,"0","1","1",
9,74443,150968,"0","1","1",
10,151361,154502,"1","0","1",
11,155517,160108,"1","0","1",
12,161847,167220,"1","0","1",
13,167220,176112,"0","1","1",
