JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,18734,23208,"1","0","1",
1,23208,29852,"0","1","1",
2,30090,47090,"0","1","1",
3,47784,54468,"1","0","1",
4,54978,84728,"0","1","1",
5,86985,99212,"0","1","1",
6,103273,108394,"0","1","1",
7,108908,115167,"0","1","1",
8,118317,125489,"0","1","1",
9,132967,152762,"0","1","1",
10,152966,155181,"0","0","1",
11,154275,157941,"0","1","1",
12,157941,159940,"0","1","1",
13,160922,166566,"1","0","1",
14,168198,176256,"1","0","1",
15,177109,185402,"1","0","1",
