JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,15105,22229,"1","0","1",
1,24695,32726,"0","1","0",
2,36896,47800,"0","1","1",
3,47800,53640,"0","1","1",
4,53640,56879,"1","0","1",
5,59815,63784,"0","0","1",
6,67807,71800,"0","1","1",
7,74886,84145,"1","0","1",
8,85109,88094,"0","0","1",
9,89791,97851,"0","1","1",
10,98746,118029,"0","1","1",
11,118029,127619,"0","1","1",
12,127619,136987,"0","1","1",
13,136987,144145,"0","1","0",
14,148900,151162,"0","1","0",
15,155267,158236,"0","0","1",
16,164056,171061,"0","1","0",
17,171061,176562,"0","1","1",
18,180985,184450,"1","0","1",
19,184861,196715,"0","1","0",
