JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,29350,37284,"0","1","0",
1,38039,44982,"1","0","1",
2,49366,64137,"0","1","0",
3,65959,66538,"1","0","1",
4,66810,85307,"0","1","0",
5,85738,105502,"0","1","1",
6,106637,113967,"1","0","1",
7,119347,121611,"0","0","1",
8,124619,141137,"0","1","0",
9,146522,152074,"0","1","1",
10,154451,196567,"0","1","1",
11,198229,203151,"0","1","0",
12,212386,218280,"1","0","1",
13,218733,231764,"0","1","0",
