JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,16530,30158,"0","1","1",
1,35840,39882,"0","1","1",
2,40604,46841,"0","1","1",
3,55178,57062,"1","0","1",
4,59455,68418,"1","0","1",
5,69353,75055,"0","1","1",
6,80710,116722,"0","1","1",
7,118423,145584,"0","1","1",
8,151364,156361,"0","1","0",
9,171901,178874,"0","1","1",
10,181451,195680,"0","1","1",
11,199457,206312,"0","1","1",
12,210324,215322,"1","0","1",
13,229396,234980,"1","0","1",
