JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,28968,30396,"1","0","1",
1,31676,46241,"0","1","1",
2,46256,49266,"0","0","1",
3,50626,54332,"0","1","1",
4,56678,62934,"0","1","1",
5,63601,75378,"0","1","0",
6,75746,77826,"1","0","1",
7,78653,81463,"0","0","1",
8,82249,86768,"0","1","1",
9,87243,99680,"0","1","1",
10,99680,106420,"0","1","1",
11,103308,107576,"1","0","1",
12,107576,110602,"0","0","1",
13,110602,120190,"0","1","1",
14,120828,121040,"0","0","1",
15,121475,125654,"0","1","0",
16,126771,132057,"0","1","1",
17,135062,153680,"0","1","1",
18,154130,200770,"0","1","1",
19,201383,205020,"0","1","1",
20,205020,208046,"0","0","1",
