JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,35768,36074,"1","0","1",
1,36550,39882,"1","0","1",
2,44880,62901,"0","1","1",
3,64192,76670,"0","1","1",
4,78043,81134,"0","0","1",
5,81134,84286,"0","0","1",
6,85346,87380,"0","0","1",
7,93378,0,"0","0","1",
8,96390,98176,"0","0","1",
9,101050,104142,"0","0","1",
10,104723,147856,"0","1","1",
11,149243,152252,"1","0","1",
12,154099,161556,"0","1","0",
13,162326,165340,"0","1","0",
14,165988,196520,"0","1","0",
15,198263,207228,"0","1","1",
