JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,30221,36820,"0","1","1",
1,37285,40495,"1","0","1",
2,47810,50785,"0","0","1",
3,50785,55510,"1","0","1",
4,57958,59745,"1","0","1",
5,60917,64785,"0","1","1",
6,65018,77953,"0","1","1",
7,72582,76646,"0","0","1",
8,92794,118035,"0","1","1",
9,118864,129220,"1","0","1",
10,129220,132195,"0","0","1",
11,134011,134953,"1","0","1",
12,139610,169059,"0","1","1",
13,169059,172025,"0","0","1",
14,173133,176120,"0","0","1",
15,179310,182280,"0","0","1",
16,182280,189285,"0","1","1",
17,193500,196525,"0","0","1",
18,196525,199150,"0","0","1",
19,200618,203595,"0","0","1",
20,205786,218925,"0","1","1",
