JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,17195,29218,"1","0","1",
1,29218,60299,"1","0","1",
2,60624,66618,"0","0","1",
3,70942,73095,"1","0","1",
4,73704,80261,"1","0","1",
5,80538,97675,"0","1","1",
6,108002,113431,"1","0","1",
7,119701,132112,"0","1","1",
8,133030,134700,"1","0","1",
9,134729,137223,"0","0","1",
10,142220,150799,"1","0","1",
11,151810,152660,"1","0","1",
12,152722,159459,"0","1","0",
13,162733,168282,"1","0","1",
14,194736,198876,"0","1","1",
