JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,11612,28913,"0","1","1",
1,29161,45100,"0","1","1",
2,45107,56894,"0","1","1",
3,62186,75208,"0","1","1",
4,76193,85201,"0","1","1",
5,86751,96123,"0","1","1",
6,96174,105842,"0","1","1",
7,111824,112620,"0","1","0",
8,113125,129054,"0","1","1",
9,129750,148240,"0","1","1",
10,148741,153986,"1","0","1",
11,154489,160494,"1","0","1",
12,162849,173922,"0","1","1",
13,174328,178296,"0","1","1",
14,178549,194172,"0","1","0",
15,194657,197204,"1","0","1",
16,197251,204954,"0","1","1",
17,205657,212466,"0","1","0",
18,213406,222759,"1","0","0",
