JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,10778,"0","1","1",
1,12460,31129,"0","1","1",
2,33772,34272,"1","0","1",
3,40119,52292,"0","1","1",
4,52295,52734,"1","0","1",
5,52734,53089,"1","0","1",
6,53274,63648,"0","1","0",
7,64033,77248,"0","1","1",
8,81687,95268,"0","1","1",
9,97249,107168,"0","1","1",
10,113278,133416,"0","1","1",
11,134138,137107,"0","0","1",
12,137107,158304,"0","1","1",
13,158678,161704,"1","0","1",
14,165886,169621,"0","1","0",
15,172162,175032,"1","0","1",
16,179251,182580,"0","1","0",
17,183394,200002,"0","1","1",
18,203304,207244,"0","1","1",
19,212199,216890,"1","0","1",
