JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,17306,"0","1","1",
1,18351,25194,"0","1","1",
2,26967,31923,"0","1","1",
3,33165,37244,"0","1","1",
4,47687,60636,"0","1","1",
5,61730,63064,"0","0","1",
6,63342,64953,"1","0","1",
7,67274,82464,"1","0","1",
8,84229,87564,"0","0","1",
9,89634,95142,"0","1","1",
10,108244,132872,"0","1","1",
11,133339,135540,"0","1","1",
12,138434,141571,"0","0","1",
13,141571,145892,"0","0","1",
14,151179,162758,"0","1","1",
15,170013,173264,"1","0","1",
16,178806,182763,"1","0","1",
17,184348,185334,"1","0","1",
18,185334,188749,"0","0","1",
19,188749,191828,"1","0","1",
20,194901,214948,"0","1","1",
21,217716,227702,"1","0","0",
22,233187,235835,"1","0","1",
