JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,6766,20524,"1","0","1",
1,27734,33463,"1","0","1",
2,40089,42429,"1","0","1",
3,42429,58786,"0","1","1",
4,60629,71988,"0","1","0",
5,78370,84850,"1","0","1",
6,89590,94680,"0","0","1",
7,96608,104408,"0","1","0",
8,119429,125746,"1","0","1",
9,129911,143714,"0","1","1",
10,146404,151452,"1","0","1",
11,152065,159298,"1","0","1",
12,160507,167442,"0","1","1",
13,167442,179283,"1","0","1",
14,182825,191023,"1","0","1",
15,191164,191885,"0","0","1",
