JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,5592,8903,"0","0","1",
1,8903,11870,"0","0","1",
2,13556,16592,"0","0","1",
3,17295,21975,"0","1","1",
4,23216,30362,"0","1","1",
5,30407,34680,"0","1","1",
6,37703,41480,"1","0","0",
7,41480,43774,"0","0","1",
8,43774,51918,"1","0","1",
9,51918,54803,"0","0","1",
10,56682,58140,"1","0","1",
11,58661,66572,"0","1","1",
12,68817,74936,"0","1","1",
13,76098,77996,"0","1","0",
14,78574,84422,"0","1","0",
15,85752,100606,"0","1","1",
16,103215,105768,"1","0","1",
17,109661,113696,"0","1","1",
18,118279,154701,"1","0","1",
19,155142,158168,"0","0","1",
20,158168,161621,"0","1","1",
21,162567,166437,"0","1","0",
22,166949,175576,"0","1","1",
23,194830,209124,"0","1","1",
24,210191,213510,"0","0","1",
