JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,15880,19074,"0","0","1",
1,21009,24038,"0","0","1",
2,30389,33660,"1","0","1",
3,35660,36908,"0","1","0",
4,37876,40173,"0","1","0",
5,40925,44880,"0","1","0",
6,45424,50345,"0","1","1",
7,50694,55181,"0","1","1",
8,55454,57222,"0","1","0",
9,57707,60695,"0","1","0",
10,61099,69621,"0","1","1",
11,70244,72137,"0","1","0",
12,72322,77350,"0","1","1",
13,78999,81770,"1","0","1",
14,82316,83130,"0","1","0",
15,83603,85510,"1","0","1",
16,85962,87550,"0","1","0",
17,89900,91913,"1","0","1",
18,92911,97182,"0","1","1",
19,98777,100946,"0","1","0",
20,104380,106148,"0","1","0",
21,106564,110471,"1","0","1",
22,117594,118660,"1","0","1",
23,120836,125253,"0","1","0",
24,125800,135898,"1","0","1",
25,139806,146425,"0","1","0",
26,141174,144794,"0","0","1",
27,146685,148546,"1","0","1",
28,153910,159053,"0","1","1",
29,159750,165298,"0","1","1",
30,165760,172244,"0","1","0",
31,175237,178441,"0","0","1",
32,178864,179792,"0","1","0",
33,179869,184144,"1","0","1",
34,185760,187714,"0","1","0",
35,187859,191590,"1","0","1",
36,191912,197547,"0","1","0",
37,197880,200192,"1","0","1",
38,200808,205590,"0","1","0",
39,206805,207696,"0","1","0",
40,210542,228233,"0","1","1",
41,229813,257756,"0","1","1",
