JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,10870,31450,"0","1","1",
1,31873,40335,"0","1","1",
2,41539,63444,"1","0","0",
3,65059,70238,"1","0","0",
4,72076,75411,"0","0","1",
5,81461,83844,"1","0","1",
6,87198,103122,"0","1","1",
7,103762,121278,"0","1","1",
8,124136,130025,"1","0","1",
9,130025,133501,"0","0","1",
10,136166,139556,"0","0","1",
11,140632,146023,"0","1","1",
12,146879,149838,"0","1","1",
13,158509,160242,"0","0","1",
14,160643,167697,"0","1","1",
15,176173,179602,"0","0","1",
16,181457,196740,"0","1","1",
17,198019,204872,"0","0","1",
