JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,1324,11761,"1","0","1",
1,15629,30450,"0","1","1",
2,31416,34731,"0","0","1",
3,41515,51278,"1","0","1",
4,52734,55964,"1","0","1",
5,60316,65521,"0","1","0",
6,87174,89598,"1","0","1",
7,90894,93958,"1","0","1",
8,95845,103703,"1","0","1",
9,104091,108956,"1","0","1",
10,117508,124387,"1","0","1",
11,130186,135392,"1","0","1",
12,148988,163506,"0","1","0",
13,167663,196255,"0","1","1",
