JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,11967,12750,"0","1","1",
1,13132,15198,"1","0","1",
2,16014,20230,"0","1","1",
3,20869,29512,"1","0","1",
4,35374,44642,"0","1","1",
5,45594,53958,"0","1","1",
6,54408,57766,"1","0","1",
7,57766,61268,"0","0","1",
8,63852,66844,"0","0","1",
9,68024,87754,"0","1","1",
10,87597,90406,"1","0","1",
11,90946,93942,"0","0","1",
12,96594,102782,"0","1","1",
13,103273,104720,"1","0","1",
14,107522,110160,"1","0","0",
15,110696,114308,"1","0","1",
16,114976,133756,"0","1","1",
17,134728,146336,"0","1","1",
18,147444,150416,"0","0","1",
19,153572,156570,"0","0","1",
20,156570,158052,"0","0","1",
21,161012,161262,"1","0","1",
22,161262,165249,"0","0","1",
23,165512,166838,"0","0","1",
24,176935,179928,"0","0","1",
25,179928,182920,"0","0","1",
26,182920,185912,"0","0","1",
