JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,4343,6541,"0","1","1",
1,6682,14960,"1","0","1",
2,16109,26706,"1","0","1",
3,27757,40798,"0","1","1",
4,41804,56709,"0","1","1",
5,60458,80219,"0","1","1",
6,83272,94611,"0","1","1",
7,96007,120767,"0","1","0",
8,121456,129248,"0","1","1",
9,135891,141746,"1","0","1",
10,145035,151464,"1","0","1",
11,153884,168742,"1","0","1",
12,169456,176196,"0","1","1",
13,176837,182954,"0","1","1",
14,186226,210020,"0","1","1",
15,211037,221294,"0","1","1",
