JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,11968,17544,"1","0","1",
1,17578,20604,"0","0","1",
2,20604,29070,"0","1","1",
3,30257,46172,"0","1","1",
4,46841,49606,"0","0","1",
5,51500,59348,"0","1","1",
6,59534,62390,"0","0","1",
7,67639,69789,"0","1","1",
8,72669,85311,"1","0","1",
9,88930,98989,"0","1","1",
10,100256,108188,"0","1","1",
11,110994,113326,"1","0","1",
12,115251,121095,"1","0","0",
13,122991,125352,"0","1","1",
14,125776,128792,"0","0","1",
15,129089,132090,"0","0","1",
16,136297,140896,"0","1","0",
17,142806,147912,"1","0","1",
18,150993,154122,"0","1","0",
19,154883,157704,"0","1","1",
20,158256,161500,"0","1","1",
21,162331,176324,"0","1","1",
22,181939,182410,"1","0","1",
23,183000,192984,"0","1","0",
24,193915,196255,"0","1","0",
25,199663,205931,"0","1","1",
26,208384,209440,"1","0","1",
27,212252,214914,"0","0","1",
28,214914,224477,"0","1","0",
29,227227,235314,"0","1","0",
30,235984,239067,"1","0","1",
31,240038,245007,"0","1","0",
