JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,27478,42942,"0","1","1",
1,49221,66899,"0","1","1",
2,67603,70659,"1","0","1",
3,73892,82518,"0","1","1",
4,83369,88088,"0","1","0",
5,94149,103877,"0","1","1",
6,108407,116212,"1","0","1",
7,116212,123794,"0","1","1",
8,124474,136564,"0","1","1",
9,140716,149149,"0","1","1",
10,157361,177310,"0","1","1",
11,173659,176218,"0","0","1",
12,177146,190196,"1","0","1",
13,191024,206916,"0","1","1",
