JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,23000,28734,"0","1","1",
1,29546,35547,"0","1","1",
2,45011,46291,"0","0","1",
3,48964,50887,"0","0","1",
4,54741,57648,"0","0","1",
5,60426,67142,"0","1","1",
6,73758,78478,"0","1","1",
7,80321,83338,"0","0","1",
8,85313,88565,"0","0","1",
9,94251,102102,"0","1","0",
10,102413,105109,"0","1","1",
11,106012,114521,"0","1","1",
12,115454,121576,"0","1","1",
13,124422,128629,"1","0","1",
14,130011,136212,"0","1","0",
15,136418,139539,"1","0","1",
16,142919,148128,"0","1","0",
17,150426,153075,"0","0","1",
18,154750,161235,"1","0","1",
19,165793,173740,"1","0","1",
20,174928,185633,"0","1","0",
21,185633,188899,"0","0","1",
22,190610,193577,"1","0","0",
23,197795,203268,"0","1","0",
