JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,49182,51310,"0","0","1",
1,53325,56327,"0","0","1",
2,61781,68713,"0","1","1",
3,76479,79799,"0","0","1",
4,81613,84764,"0","0","1",
5,88336,92722,"0","0","1",
6,95904,99497,"0","0","1",
7,100523,106799,"1","0","1",
8,111433,116178,"0","1","1",
9,117102,123784,"0","1","0",
10,124638,126357,"0","0","1",
11,127442,131529,"0","1","0",
12,132221,144734,"0","1","1",
13,147314,151076,"0","0","1",
14,152963,162547,"0","1","1",
15,165277,172640,"0","1","0",
16,173559,178603,"1","0","1",
17,181186,182070,"0","0","1",
18,183795,209790,"0","1","1",
19,211962,227387,"0","1","0",
