JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,49209,59025,"0","1","1",
1,60074,81659,"0","1","1",
2,83295,86292,"0","0","1",
3,88382,93229,"1","0","1",
4,98983,104249,"0","1","1",
5,107806,110772,"0","1","1",
6,114400,124942,"0","1","1",
7,126051,133255,"0","1","1",
8,135632,138618,"0","0","1",
9,142985,145452,"0","1","0",
10,145575,148342,"0","0","1",
11,148342,156894,"0","1","1",
12,149308,150578,"1","0","0",
13,160705,168895,"0","1","0",
14,168896,179252,"0","1","0",
15,183476,193099,"0","1","1",
16,193944,201985,"0","1","1",
17,202299,205258,"0","0","1",
18,205794,209423,"0","1","1",
19,212608,214812,"0","0","1",
20,215762,219758,"0","1","0",
