JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,46988,52972,"0","1","1",
1,51698,62691,"0","1","1",
2,69537,71740,"1","0","1",
3,74080,76296,"1","0","1",
4,76296,79704,"0","0","1",
5,80467,82915,"0","0","1",
6,87822,91154,"1","0","1",
7,93772,100198,"0","1","1",
8,101256,104704,"0","0","1",
9,107319,108834,"1","0","1",
10,109663,113696,"0","0","1",
11,113697,114376,"1","0","1",
12,121126,124134,"0","0","1",
13,140148,146370,"1","0","1",
14,146778,150500,"0","1","1",
15,156196,160344,"0","1","1",
16,166134,169150,"0","0","1",
17,173361,176536,"1","0","1",
18,185868,189652,"0","1","1",
19,190629,193201,"0","0","1",
20,196784,202137,"0","1","1",
21,207298,216852,"1","0","1",
22,217769,227541,"0","1","1",
