JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,27148,34693,"0","0","1",
1,35808,49070,"1","0","1",
2,50444,55566,"0","1","1",
3,55566,61610,"1","0","1",
4,61880,65945,"0","0","1",
5,75835,81503,"0","0","1",
6,83113,86140,"0","0","1",
7,86362,90923,"0","0","1",
8,92245,128268,"0","1","1",
9,130123,134136,"0","0","1",
10,138110,141335,"1","0","0",
11,145037,148996,"0","0","1",
12,149721,154554,"0","0","1",
13,165809,172314,"1","0","1",
14,189891,190824,"1","0","0",
