JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,26486,32759,"0","1","1",
1,33895,37230,"0","0","1",
2,37698,48309,"1","0","1",
3,51005,58671,"0","1","1",
4,59496,64630,"0","1","1",
5,67790,77359,"0","1","1",
6,77808,80519,"0","1","1",
7,81005,85918,"0","1","0",
8,86716,89046,"0","0","1",
9,90923,92854,"1","0","1",
10,94514,102902,"0","1","1",
11,103438,105298,"0","0","1",
12,122751,126060,"0","1","1",
13,135444,137850,"0","1","0",
14,141034,156994,"0","1","1",
15,166519,171738,"0","1","1",
16,177487,179038,"0","1","1",
17,180064,188369,"0","1","1",
18,195873,198900,"0","0","1",
19,198900,202422,"0","0","1",
20,206397,209348,"1","0","1",
