JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,12376,"1","0","1",
1,25397,31654,"1","0","1",
2,32544,45662,"0","1","1",
3,46677,49789,"0","0","1",
4,55930,58956,"0","0","1",
5,60180,63206,"0","0","1",
6,63206,66559,"0","0","1",
7,73265,80375,"1","0","1",
8,86796,108936,"1","0","1",
9,110663,121448,"1","0","1",
10,126459,128111,"1","0","1",
11,135190,138351,"1","0","1",
12,139371,142501,"0","0","1",
13,144205,147866,"1","0","1",
14,151454,155629,"0","0","1",
15,158639,166862,"0","1","1",
