JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,55969,62273,"0","1","1",
1,69863,72828,"0","0","1",
2,79689,87696,"1","0","1",
3,88576,91548,"0","0","1",
4,95889,99468,"1","0","1",
5,100007,102996,"0","0","1",
6,105894,106452,"1","0","1",
7,114571,117540,"0","0","1",
8,117540,121536,"0","0","1",
9,132744,136656,"0","1","1",
10,138012,159804,"0","1","1",
11,162531,165528,"0","0","1",
12,168261,169776,"0","1","0",
13,170262,177515,"0","1","1",
14,178500,184631,"0","1","1",
15,189607,192600,"0","0","1",
16,227283,232272,"1","0","1",
