JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,2586,7025,"1","0","1",
1,7849,20502,"0","1","1",
2,24816,34255,"0","1","1",
3,36154,37502,"0","1","1",
4,38392,43814,"1","0","1",
5,44743,48703,"0","1","1",
6,54045,59568,"1","0","1",
7,59948,69745,"0","1","1",
8,73017,83097,"0","1","1",
9,84284,91224,"0","1","1",
10,92424,99926,"0","1","1",
11,100709,127331,"0","1","1",
12,131385,135578,"1","0","1",
13,138385,160656,"0","1","1",
14,161559,177565,"1","0","1",
15,192614,199934,"1","0","1",
