JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,23740,30445,"1","0","1",
1,32561,34599,"1","0","1",
2,35419,40537,"1","0","1",
3,51065,55816,"1","0","1",
4,67799,83971,"0","1","1",
5,85132,104639,"1","0","1",
6,105874,118628,"1","0","1",
7,128573,148977,"1","0","1",
8,150239,156567,"0","1","1",
9,164993,171295,"1","0","1",
10,171295,184941,"0","1","1",
11,185674,187917,"1","0","1",
12,193155,197356,"1","0","1",
13,197688,211738,"0","1","0",
14,212354,222003,"1","0","1",
