JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,23407,26758,"1","0","1",
1,31689,34680,"0","0","1",
2,35770,40970,"0","1","1",
3,41765,46685,"0","1","1",
4,59643,68312,"1","1","0",
5,81105,93942,"0","1","1",
6,93942,96934,"0","0","1",
7,96934,104176,"0","1","1",
8,104176,111803,"1","0","1",
9,111803,114172,"1","0","1",
10,114587,115734,"0","1","0",
11,115871,119680,"0","1","1",
12,120430,126133,"0","1","1",
13,126583,130866,"1","0","1",
14,130866,133687,"1","0","1",
15,134241,136885,"1","0","1",
16,139388,142358,"0","0","1",
17,145223,157116,"0","1","1",
18,157305,160276,"0","0","1",
19,161657,164186,"0","0","1",
20,164968,167620,"0","1","0",
21,168026,168877,"0","0","1",
22,169362,172432,"0","1","0",
23,174335,181084,"1","0","1",
24,183806,186796,"0","0","1",
25,186796,189788,"0","0","1",
26,190218,195602,"1","0","1",
27,195602,199246,"1","0","1",
