JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,63070,66436,"0","1","0",
1,67593,67626,"1","0","1",
2,69053,72624,"0","1","1",
3,73606,82654,"0","1","1",
4,84128,87312,"1","0","1",
5,94494,98702,"0","1","0",
6,100108,106964,"1","0","1",
7,106980,107440,"1","0","1",
8,108302,123216,"0","1","1",
9,123791,125614,"0","1","0",
10,130850,135048,"0","1","1",
11,135323,140012,"0","1","0",
12,140419,144103,"0","1","0",
13,145463,148213,"1","0","1",
14,151554,153238,"0","1","0",
15,154080,168130,"0","1","1",
16,169304,178126,"0","1","1",
17,179157,183906,"1","0","1",
18,186155,188768,"0","1","0",
19,198395,223447,"0","1","1",
20,224416,232747,"0","1","0",
21,235340,238714,"0","1","0",
