JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,21998,27268,"1","0","1",
1,31790,35044,"1","0","1",
2,36531,43792,"1","0","1",
3,43865,51884,"0","1","1",
4,52947,63013,"0","1","1",
5,65733,74766,"1","0","1",
6,76092,82484,"0","1","1",
7,83470,100674,"0","1","1",
8,100731,103734,"1","0","1",
9,110534,118558,"0","1","1",
10,128418,135501,"0","1","1",
11,143344,146336,"0","0","1",
12,147352,150367,"0","0","1",
13,154356,160786,"0","1","1",
14,163141,169966,"1","0","1",
15,185042,188298,"0","0","1",
16,189346,192373,"1","1","0",
17,194307,202364,"0","1","1",
