JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,32148,38570,"1","0","1",
1,39935,42945,"0","0","1",
2,43357,45185,"0","0","1",
3,51877,60566,"0","1","1",
4,64415,69860,"1","0","1",
5,77593,83545,"1","0","1",
6,90481,107030,"0","1","1",
7,108185,109305,"0","0","1",
8,110855,113229,"0","0","1",
9,118793,121520,"1","0","1",
10,127486,137158,"1","0","1",
11,141117,143437,"1","0","1",
12,144177,147210,"0","0","1",
13,148991,159413,"1","0","1",
14,159456,162470,"0","0","1",
15,162855,169116,"0","1","1",
16,170207,171117,"1","0","1",
17,171782,193360,"0","1","1",
18,198857,228419,"0","1","1",
