JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,45113,54774,"0","1","1",
1,56439,61449,"1","0","1",
2,72073,76466,"0","1","1",
3,86228,100991,"0","1","1",
4,102982,110537,"1","0","1",
5,112420,113526,"1","0","1",
6,114700,123426,"1","0","1",
7,126320,137457,"0","1","1",
8,139340,148818,"0","1","1",
9,149401,155346,"0","1","0",
10,156472,157624,"0","1","1",
11,163767,173439,"0","1","1",
12,177764,180744,"0","0","1",
13,181968,184960,"0","0","1",
14,185980,188972,"0","0","1",
15,190250,193222,"0","0","1",
16,196323,224303,"0","1","1",
