JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,26005,31604,"1","0","1",
1,33145,47845,"0","1","1",
2,47915,56175,"1","0","1",
3,55545,56070,"0","0","1",
4,57410,69055,"1","0","1",
5,72835,77000,"0","1","1",
6,76335,78515,"1","0","1",
7,86170,88496,"1","0","1",
8,90785,94819,"0","1","1",
9,95494,98845,"0","0","1",
10,101745,130885,"0","1","1",
11,139790,146894,"1","0","1",
12,155260,158469,"1","0","1",
13,174615,183190,"0","1","1",
