JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,16349,21522,"1","0","1",
1,21646,23154,"0","0","1",
2,39615,48110,"1","0","1",
3,48766,49946,"1","0","1",
4,53354,67232,"1","0","1",
5,69852,74246,"1","0","1",
6,74909,81668,"1","0","1",
7,87142,92106,"1","0","1",
8,93262,96730,"1","0","1",
9,102400,112907,"0","1","1",
10,114394,119042,"1","0","1",
11,128705,133882,"1","0","1",
12,140823,143854,"0","0","1",
13,152154,168980,"1","0","1",
14,177576,195092,"0","1","1",
15,200267,204576,"1","0","1",
16,211276,213418,"1","0","1",
17,215568,222054,"0","1","1",
18,230894,232628,"1","0","1",
19,236865,242554,"1","0","1",
