JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,47853,52394,"0","1","1",
1,52993,59364,"0","1","1",
2,59762,72569,"0","0","1",
3,72569,75358,"0","1","0",
4,75358,79029,"0","1","0",
5,79535,88599,"0","1","1",
6,89176,100413,"0","1","1",
7,100780,112017,"0","1","1",
8,113556,126854,"0","1","0",
9,127485,152046,"0","1","1",
10,153341,158831,"0","1","1",
11,158831,173269,"0","1","1",
12,173269,177084,"1","0","1",
13,177084,180064,"0","0","1",
14,180832,187652,"0","1","0",
15,188337,196044,"1","0","1",
16,196610,203655,"0","1","1",
17,203655,212971,"0","1","0",
18,223585,227005,"1","0","0",
