JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,32982,36671,"1","0","1",
1,36671,43391,"0","1","1",
2,43391,53176,"0","1","1",
3,53176,59595,"0","1","1",
4,60946,68748,"0","1","1",
5,68769,72770,"1","0","1",
6,75047,78156,"1","0","1",
7,78156,84461,"0","1","1",
8,85132,88128,"0","0","1",
9,89520,95421,"0","1","1",
10,99256,107250,"0","1","1",
11,109568,118286,"0","1","1",
12,121453,130579,"0","1","1",
13,134242,140557,"1","0","1",
14,140557,142566,"0","0","1",
15,143709,145931,"1","0","1",
16,147389,154921,"0","1","1",
17,159474,174924,"0","1","1",
18,174924,176783,"1","0","1",
19,184849,187816,"0","0","1",
20,192448,195466,"0","0","1",
