JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,2819,"1","0","1",
1,4259,5134,"1","0","1",
2,5734,14314,"1","0","1",
3,16048,16728,"1","0","1",
4,16728,16898,"1","0","1",
5,22764,27574,"1","0","1",
6,31484,33600,"1","0","1",
7,35787,49504,"1","0","1",
8,53278,56299,"0","0","1",
9,59168,66436,"1","0","1",
10,71180,77758,"0","0","1",
11,81566,84592,"0","0","1",
12,85012,90151,"1","0","1",
13,103441,113356,"0","1","1",
14,117590,121720,"1","0","1",
15,123747,126756,"0","0","1",
16,127573,133382,"1","0","1",
17,134728,137734,"0","0","1",
18,140055,152014,"0","1","1",
19,152592,156774,"1","0","1",
20,171564,177004,"1","0","1",
21,186013,189040,"0","0","1",
