JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,34782,40842,"0","1","1",
1,41233,45491,"0","1","1",
2,45492,48178,"1","0","1",
3,49776,52836,"1","0","1",
4,54110,58003,"1","0","1",
5,61290,65251,"0","1","0",
6,68408,71894,"0","1","1",
7,75454,76738,"0","0","1",
8,76756,89301,"0","1","0",
9,91115,98970,"0","0","1",
10,99927,103706,"0","1","0",
11,104050,105674,"0","1","1",
12,109010,114102,"0","1","1",
13,119207,129907,"0","1","1",
14,131586,136482,"0","1","1",
15,141624,148824,"0","1","1",
16,149950,151007,"0","0","1",
17,150654,166192,"0","1","0",
18,166192,176865,"0","1","0",
19,184471,187476,"0","0","1",
20,188122,188394,"0","0","1",
21,189042,190733,"1","0","1",
22,195126,197132,"1","0","1",
23,202146,210834,"0","1","1",
24,211820,213275,"1","0","1",
