JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,22916,37781,"0","1","1",
1,45165,51783,"0","1","1",
2,56723,59126,"1","0","1",
3,75784,78438,"1","0","1",
4,82875,85850,"0","1","1",
5,86555,89250,"0","1","1",
6,91793,104226,"1","0","1",
7,104226,106433,"1","0","1",
8,106433,0,"0","1","0",
9,110255,116676,"1","0","1",
10,124004,129267,"0","1","1",
11,146055,153135,"0","1","0",
12,159222,168121,"0","1","0",
13,180965,183940,"0","0","1",
14,189673,197788,"0","1","1",
