JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,5542,31545,"1","0","1",
1,31546,42602,"0","1","1",
2,45657,49139,"1","0","1",
3,49266,54468,"0","1","1",
4,58141,67592,"0","1","1",
5,70312,76126,"1","0","1",
6,77930,80546,"0","0","1",
7,85544,88185,"0","1","0",
8,91309,97631,"1","0","1",
9,109955,117201,"0","1","1",
10,119746,132009,"0","1","1",
11,134051,137224,"1","0","1",
12,145570,148954,"1","0","1",
13,149021,151799,"0","1","0",
14,152745,161364,"0","1","1",
15,170215,174543,"0","1","1",
16,175233,178734,"0","0","1",
17,179918,185860,"0","1","1",
18,195312,196283,"1","0","1",
