JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,23380,40222,"0","1","1",
1,41356,44540,"1","0","1",
2,45716,58684,"0","1","1",
3,60564,62348,"1","0","1",
4,65999,66612,"0","0","1",
5,70822,74650,"0","1","1",
6,75973,78982,"0","0","1",
7,78982,83307,"0","1","1",
8,85239,92948,"0","1","1",
9,98423,114444,"0","1","1",
10,127815,135456,"1","0","1",
11,162545,184178,"1","0","1",
12,184817,185005,"1","0","1",
13,185550,205498,"0","1","1",
