JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,46818,52394,"1","0","1",
1,60316,63614,"1","0","1",
2,62118,67066,"0","1","1",
3,67218,72190,"1","0","1",
4,79696,85558,"0","1","0",
5,85558,89645,"0","1","0",
6,91714,94724,"0","0","1",
7,94724,97848,"0","0","1",
8,101218,104074,"1","0","1",
9,111234,130356,"0","1","1",
10,131580,136340,"0","1","1",
11,137334,138924,"1","0","1",
12,152588,182274,"0","1","1",
13,182274,191624,"0","1","1",
14,192066,195893,"1","0","1",
15,202685,221979,"0","1","1",
16,224162,227557,"1","0","1",
