JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,21921,26300,"1","0","1",
1,26300,30453,"1","0","1",
2,30453,41956,"0","1","1",
3,43578,50286,"0","1","1",
4,48941,60418,"0","1","1",
5,60816,63614,"0","1","1",
6,65385,68374,"0","0","1",
7,68374,70649,"0","0","1",
8,73507,79832,"1","0","1",
9,82169,93372,"0","1","1",
10,96281,104618,"0","1","1",
11,108009,111010,"0","0","1",
12,111010,117912,"0","1","1",
13,122362,124542,"1","0","1",
14,125639,128622,"0","0","1",
15,128622,131614,"0","0","1",
16,133291,136272,"0","0","1",
17,137675,140080,"0","0","1",
18,143929,146914,"0","0","1",
19,146914,148342,"0","0","1",
20,149561,150280,"1","0","1",
21,150280,151810,"1","0","1",
22,154258,155686,"1","0","1",
23,160059,163030,"0","0","1",
24,167225,169422,"1","0","1",
25,170435,172788,"1","0","1",
26,175202,178194,"0","0","1",
27,182120,184892,"0","0","1",
28,185927,188394,"1","0","1",
29,192521,197049,"0","1","1",
