"","sid","types","tokens","TTR","MTLD","condition","video","age","gender","parent_ed","AA","EL","RR","Conversational_Turns"
"34","110416_06",60,261,0.229885057471264,12.0598354525056,"con","a_recoger",0.832876712,"F",6,5.75,5.625,4,54
"35","092216_01",49,92,0.532608695652174,14.7386759581882,"con","ruidos",0.967123288,"F",6,NA,NA,NA,23
"36","120416_01",89,276,0.322463768115942,21.1822958605163,"con","classificando",1.18630137,"F",4,5.125,6,4.5,63
"37","101416_02",71,179,0.396648044692737,20.7332097032879,"exp","ruidos",0.980821918,"F",6,5.75,5.875,3.875,49
"38","102816_01",49,111,0.441441441441441,21.2539772727273,"con","ruidos",0.912328767,"F",2,5.25,5.75,5.625,29
"39","012017_03",59,181,0.325966850828729,17.0605374077977,"con","mis_jugetes",1.515068493,"F",4,4.875,5.625,5.5,43
"40","042416_01",83,188,0.441489361702128,21.7125,"exp","ruidos",0.838356164,"F",6,4.875,5.125,4.125,NA
"41","121316_01",63,151,0.417218543046358,17.5201005025126,"con","give_me_toy",1.030136986,"M",4,6,5.625,4.5,51
"42","111716_06",27,72,0.375,16.2,"con","orchestra",1.98630137,"M",3,5.625,6,5.75,3
"43","110416_07",98,213,0.460093896713615,36.5142857142857,"con","a_recoger",0.997260274,"M",6,3.875,5.625,3.5,32
"44","101416_01",99,255,0.388235294117647,24.3409090909091,"con","ruidos",0.868493151,"F",5,5.5,6,4,8
"45","042416_03",89,364,0.244505494505494,20.4575852472569,"exp","a_recoger",0.695890411,"M",6,6,5.25,2.875,NA
"46","091316_02",69,169,0.408284023668639,32.3304347826087,"con","give_me_toy",1.169863014,"F",6,5.5,6,4.875,16
"47","012017_01",71,195,0.364102564102564,22.1429294975689,"exp","orchestra",1.556164384,"F",4,NA,NA,NA,34
"48","050116_01",81,207,0.391304347826087,22.0352348993289,"exp","classificando",1.238356164,"F",3,4.625,5.125,3.875,42
"49","121516_04",96,292,0.328767123287671,20.1619047619048,"exp","mis_jugetes",2.002739726,"F",6,4.875,6,4.375,57
"50","111716_02",102,245,0.416326530612245,19.0453980099502,"exp","give_me_toy",1.093150685,"F",6,6,5.75,5,12
"51","121516_01",64,206,0.310679611650485,9.58658008658009,"exp","orchestra",1.887671233,"F",6,5.5,5.25,4.25,25
"52","110416_05",60,151,0.397350993377483,11.6845238095238,"con","mis_jugetes",1.501369863,"F",4,4.875,5.625,5.625,10
"53","120916_03",96,173,0.554913294797688,38.7715723873442,"con","orchestra",1.542465753,"F",4,5.75,4.5,4.25,41
"54","101416_09",69,364,0.18956043956044,16.3741440475208,"exp","classificando",1.117808219,"M",6,6,5.625,4.25,42
"55","120416_02",43,263,0.163498098859316,10.3176923076923,"exp","mis_jugetes",1.964383562,"M",3,5,6,5.14285714285714,9
"56","110416_04",68,103,0.660194174757282,66.9163973413013,"con","a_recoger",0.975342466,"F",2,5.5,5.375,4.25,18
"57","092216_03",75,179,0.418994413407821,21.1319444444444,"con","give_me_toy",1.101369863,"M",6,NA,NA,NA,22
"58","042416_02",50,203,0.246305418719212,10.063404453149,"exp","classificando",1.638356164,"F",6,4.875,5.25,5.125,NA
"59","101416_04",51,116,0.439655172413793,13.05,"exp","a_recoger",0.775342466,"M",6,4.625,5.75,3.875,21
"60","091316_03",75,183,0.409836065573771,28.3295257874697,"con","classificando",1.054794521,"F",6,5.375,6,5.125,56
