,sid,age,video,gender,parent_ed,condition,types,types2,tokens,tokens2,TTR,TTR2,MTLD,MTLD2
47,091818_2,-0.192074364166666,big or small,F,6.0,exp,68,68.0,176,176.0,0.38636363636363596,0.38636363636363635,23.318903318903303,23.077712233906126
48,113018_4,-0.219471624166667,puzzle,F,3.0,exp,81,82.0,191,191.0,0.424083769633508,0.4293193717277487,21.7262277951933,21.72622779519331
49,091118_1,-0.0715264191666665,Gopnik,M,6.0,con,128,132.0,296,299.0,0.432432432432432,0.4414715719063545,33.0870147255689,27.315499254843516
50,083018_4,0.0353228968333335,Warneken,M,4.0,con,55,57.0,118,118.0,0.466101694915254,0.4830508474576271,23.509567516188397,23.509567516188437
51,011118_1,0.0161448138333333,Lany,F,6.0,con,48,48.0,85,85.0,0.5647058823529411,0.5647058823529412,15.798741129061,15.798741129061018
52,102518_3,-0.164677103166667,Hamlin,M,4.0,con,126,128.0,318,318.0,0.39622641509434,0.4025157232704403,22.761016963571702,22.76101696357171
53,101218_2,0.22162426583333303,Adolph,M,6.0,con,93,94.0,194,194.0,0.479381443298969,0.4845360824742268,29.2012649524404,29.201264952440432
54,101218_3,-0.0413894321666666,Gopnik,M,4.0,con,105,107.0,237,237.0,0.44303797468354406,0.45147679324894513,17.2526196984758,17.25261969847581
55,110218_7,0.24628180083333304,orchestra,M,,exp,92,94.0,248,248.0,0.37096774193548404,0.3790322580645161,12.5223684210526,12.522368421052631
56,032219_1,0.0325831698333334,Warneken,M,6.0,con,74,74.0,127,127.0,0.582677165354331,0.5826771653543307,40.288321167883204,40.28832116788321
57,090518_1,0.202446183833333,Adolph,F,4.0,con,81,83.0,172,172.0,0.47093023255814,0.48255813953488375,20.3055555555556,20.305555555555557
58,090618_5,-0.367416830166666,Feigenson,F,4.0,con,123,124.0,255,255.0,0.48235294117647104,0.48627450980392156,27.2490974729242,27.249097472924184
59,101818_4,-0.3920743641666671,big or small,M,6.0,exp,86,87.0,243,243.0,0.35390946502057596,0.35802469135802467,14.3949438202247,14.39494382022472
60,101818_5,-0.189334638166667,puzzle,F,,exp,91,92.0,202,202.0,0.450495049504951,0.45544554455445546,19.262556663644602,19.262556663644602
61,110818_1,-0.140019569166667,big or small,F,4.0,exp,74,75.0,270,270.0,0.27407407407407397,0.2777777777777778,20.0274725274725,20.027472527472526
62,101218_5,0.213405087833333,color,M,4.0,exp,102,106.0,299,299.0,0.34113712374581895,0.35451505016722407,17.207729468599,17.207729468599034
63,101218_4,0.243542074833333,big_small,M,,exp,90,92.0,267,267.0,0.337078651685393,0.3445692883895131,15.3892314990512,15.389231499051233
64,110218_1,0.306555772833333,orchestra,F,6.0,exp,41,41.0,183,183.0,0.224043715846995,0.22404371584699453,3.8125,3.8125
65,110418_3,-0.123581213166666,give_me_toy,,,exp,92,93.0,383,386.0,0.240208877284595,0.24093264248704663,13.11866359447,12.16813294232649
66,090618_3,0.142172211833334,Warneken,M,6.0,con,59,60.0,120,120.0,0.4916666666666671,0.5,10.1145518229581,10.114551822958127
67,101818_2,0.196966731833333,big_small,F,,exp,120,124.0,411,411.0,0.291970802919708,0.30170316301703165,20.4576901659428,20.457690165942758
68,091318_2,-0.224951076166667,give_me_toy,M,4.0,exp,85,85.0,221,221.0,0.384615384615385,0.38461538461538464,20.7513289829699,20.75132898296992
69,110818_6,0.377788649833333,Warneken,F,3.0,con,65,67.0,117,123.0,0.555555555555556,0.5447154471544715,9.81818181818182,9.123626373626374
70,090418_6,0.42436399183333395,Warneken,M,5.0,con,82,83.0,203,203.0,0.403940886699507,0.4088669950738916,23.0866420437058,23.08664204370576
71,022619_3,0.344911937833333,Lany,M,4.0,con,98,100.0,216,216.0,0.45370370370370394,0.46296296296296297,24.9558212058212,24.95582120582121
72,022619_2,0.265459882833333,color,M,4.0,exp,52,52.0,116,116.0,0.448275862068966,0.4482758620689655,13.0,13.0
73,091818_4,-0.389334638166666,Hamlin,M,6.0,con,75,77.0,166,166.0,0.451807228915663,0.463855421686747,10.4156862745098,10.415686274509804
74,102818_2,0.4462818008333329,orchestra,M,,exp,39,39.0,63,63.0,0.6190476190476191,0.6190476190476191,10.5,10.5
75,091118_7,-0.12084148716666698,Gopnik,M,6.0,con,97,97.0,213,213.0,0.455399061032864,0.45539906103286387,29.2362292879534,29.236229287953428
76,102618_1,0.0791585128333334,big_small,F,6.0,exp,81,83.0,306,306.0,0.264705882352941,0.27124183006535946,25.0890657084189,25.089065708418893
77,102518_5,-0.41125244616666706,Feigenson,F,6.0,con,74,77.0,170,176.0,0.43529411764705894,0.4375,14.6106577643622,15.990222064509707
78,102518_4,-0.189334638166667,Hamlin,M,4.0,con,119,120.0,203,203.0,0.586206896551724,0.5911330049261084,55.5028424720337,55.50284247203375
79,113018_3,-0.230430528166667,puzzle,M,6.0,exp,77,79.0,141,141.0,0.5460992907801421,0.5602836879432624,21.821428571428598,21.82142857142857
80,092018_6,0.46545988283333295,big_small,F,6.0,exp,113,113.0,316,316.0,0.357594936708861,0.3575949367088608,18.7098296269487,18.709829626948697
81,101718_1,-0.167416830166667,Gopnik,M,4.0,con,91,94.0,322,322.0,0.282608695652174,0.2919254658385093,16.2996750232126,16.29967502321263
82,090618_1,0.0079256358333335,Lany,M,6.0,con,155,158.0,357,357.0,0.43417366946778707,0.4425770308123249,50.222376697200396,50.22237669720039
83,110418_4,0.29285714283333397,orchestra,M,4.0,exp,37,37.0,59,59.0,0.6271186440677969,0.6271186440677966,10.8,10.8
